timestamp_ms,right_elbow_angle,left_elbow_angle,right_plank_posture_angle,left_plank_posture_angle,fsm_state,right_elbow_angle_smooth,left_elbow_angle_smooth,right_plank_posture_angle_smooth,left_plank_posture_angle_smooth
2833,132.8363478901336,159.91012181826122,173.44795780738798,174.4323073740226,ACTIVE,134.60914078004825,160.38909237006814,172.8888525402303,174.53398961997323
2866,140.51831228144647,161.1214766338198,173.31645246762318,174.58304219245537,ACTIVE,137.8206026662957,161.669318025868,172.9635726241682,174.56790876381746
2900,141.51374724453075,162.8784959176188,173.03906216501696,174.9327728236066,RESTING,140.79773833811302,162.90332718607854,173.142129827158,174.5171040376921
2933,144.3941727686571,165.36512096509054,172.74321547586663,174.37579008732564,RESTING,143.67504889985958,164.667132718731,173.37185801509224,174.5400958999456
2966,144.5432166494237,166.3340951533649,173.67338291931185,174.75599161558188,RESTING,145.48514881029243,165.74772555773671,173.65618781927736,174.594994780406
3000,146.62533101286581,166.65469207795118,173.78884508423812,174.35408584279617,RESTING,146.83181513652582,166.16126195425147,174.08477737566528,174.59269497757475
3033,147.53168163949653,166.82417779832892,174.95727389357796,174.29444970274392,RESTING,147.95547967193568,166.4976368956856,174.619064806,174.61274270562245
3066,149.4288981517688,166.0335920383777,175.4204938311827,174.83030990306202,RESTING,149.7151531684598,166.6120182907781,175.18759199444077,174.62477310268008
3100,150.58362683943594,165.7688390581592,175.8231594030695,174.92306618427986,RESTING,151.221955664886,166.68597273901946,175.67942978330973,174.68559414554386
3133,153.26490376560707,166.2916636094446,176.0566558924892,174.68175826286068,RESTING,152.87685378532555,167.00287594338613,176.09490832831366,174.6924642013479
3166,155.03094434520946,168.09247103921527,176.20216877713827,174.7272922134903,RESTING,154.16756099019673,167.31613403817624,176.5017996653355,174.7400375515166
3200,155.47135241385521,168.11244409007426,176.6510442707478,174.53241187468313,RESTING,155.20604668349483,167.6582762228669,176.7620335208122,174.70569580988294
3233,155.30670132740698,168.44408188841768,176.9863701137684,174.54091618363074,RESTING,155.79018476275402,168.05778975140208,177.03842657794644,174.60646474567386
3266,156.20937431593623,168.3146623714036,177.56680785242406,174.63045963163154,RESTING,156.07575956460852,168.30826574873794,177.196815079477,174.47362449358104
3300,155.91646746934785,167.6291948141851,177.30193959482799,174.40746003341786,RESTING,155.92757050888963,168.24463426399407,177.29067111308296,174.35497166912762
3333,155.57649885032953,168.16887902563587,177.20558576533543,174.22505358752892,RESTING,155.62690058891206,168.16766650159224,177.25405313733074,174.19936426717337
3366,155.43210959232678,168.47720256183402,176.98788991696767,173.9765258383495,RESTING,155.27875982290084,168.1572661731043,177.0595766949465,173.99714263763437
3400,155.23840624856257,168.51867523634814,176.44681369724228,173.50144914241446,RESTING,154.9881582290813,168.29333699010252,176.67985732865674,173.7386471304272
3433,154.6409715060283,168.4446101337149,176.26660522555215,173.56225546911693,RESTING,154.86010582567883,168.6557826641591,176.08751058118804,173.41421809546847
