timestamp_ms,right_shoulder_angle,left_shoulder_angle,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,fsm_state,is_aligned,right_shoulder_angle_smooth,left_shoulder_angle_smooth,right_elbow_angle_smooth,left_elbow_angle_smooth,right_knee_angle_smooth,left_knee_angle_smooth
61500,30.21688654930344,12.204181872089938,126.82260060626047,154.02698417915315,154.01723489287795,149.95814494356108,ACTIVE,True,28.451451304839708,16.606548333262204,109.80433330288524,150.97199132639483,154.96983470088998,150.43626816291334
61533,29.82568732379088,26.10118110632013,121.99434283221336,123.7861852233196,154.58201746510238,151.0196690460612,ACTIVE,True,27.270968974925477,16.009670893079402,105.02027907769906,151.9736485180702,154.21247560895017,149.4873317985888
61566,29.985226996876573,15.146356108750505,75.60580474976558,160.0967567146507,153.24367452650932,147.52650178041202,ACTIVE,True,27.7495035961186,17.833539863424278,103.8405501049075,150.56541029183876,152.8403643269026,148.22578706237493
61600,27.445689229903806,20.849982463754127,74.22804878622405,164.0741367317708,151.82980419515482,146.99257490940997,ACTIVE,True,35.50568924492381,23.470591085740566,88.21410914325138,145.2241599037917,151.55755026304826,147.41126408122636
61633,32.85424244291354,20.882572463199082,82.45265921294767,135.9301452347757,150.94015817762255,146.5116324538996,ACTIVE,True,43.874161227534884,29.835884702667528,78.83823142198514,136.6091895772679,150.82326001674966,146.80154504754998
61666,53.07075491579353,36.64825107648735,91.73715948790986,132.29339328504292,149.31871742819965,146.49708062299072,ACTIVE,True,53.02726220987235,37.200946210679724,76.74702313064714,129.17910530564697,150.19319600662408,146.41821090053224
61700,69.89363330569712,50.62778793737604,100.43969347681812,115.53357343764065,148.5771556551993,147.4396595762826,ACTIVE,True,63.812688347027134,43.916807213136934,82.80591742104843,121.74016072195357,149.65886563991407,146.60089060968792
61733,93.81243147030395,57.99180582482988,47.358244833531586,99.40693478285095,150.46606901279958,145.66367996927002,ACTIVE,True,74.36336707729714,51.62691244252992,96.19387233416512,109.84818378671488,149.8625093894376,147.11384567589616
61766,73.84307851226002,56.068430073899236,118.45683072533801,103.7773888062275,150.58106336281497,147.07825670892055,ACTIVE,True,83.98073862446486,56.74138646442487,107.62557350820934,103.54406555005545,150.33695009990603,147.51927442240572
61800,83.55030317849167,58.841993320708504,124.53473825082798,103.90421607373658,150.3852089473284,149.18229717026347,ACTIVE,True,90.14313875214637,61.15470222971332,119.16409586214711,102.64005056824735,150.7076942785981,147.872529201294
61833,96.47930643932506,61.3341861519731,144.01250627517953,104.83685314947027,151.1868729520177,149.33199077198879,ACTIVE,True,94.26381108782144,62.941705549616486,132.1190786964857,101.55803451821356,150.82557977290807,148.0962530873076
61866,97.04090524751066,60.55766893879299,147.01372226236205,104.93760658178574,152.19396438767282,147.11851643157573,ACTIVE,True,97.75280800680657,63.53867156960774,145.28916629531014,103.36960084527902,150.480817142115,148.08827274332089
61900,102.21516819828919,65.82144107482507,152.5448829362476,102.59646117820267,150.62099820807012,148.52152605306887,ACTIVE,True,100.9042539639543,64.33813385845042,158.09827300660382,105.4270226243489,150.17633876446013,148.29752897326188
61933,104.30535003557898,69.28466826523744,156.25850504328028,104.93650329883616,149.36455070343845,148.08761316273493,ACTIVE,True,106.1416277527232,65.86308016652966,156.92568054003675,101.88441856611588,150.7857427671106,148.47012776844178
61966,112.41529195750786,65.79703923879372,161.5630896781204,102.15468275342207,149.49317207351513,148.31881678544036,ACTIVE,True,106.63839745885238,64.82395016321524,157.38766317095988,101.84450709361124,151.62810914032394,148.8260237842701
62000,108.68276066377386,61.815969210979254,157.27337569070983,103.67598047308779,151.40992134280756,148.77489555611214,ACTIVE,True,106.93329536746003,63.402578846661825,156.06136450106976,100.9027086537329,152.53448379237764,149.8375308944706
62033,107.07544734195564,63.08625077798552,155.20709830612714,98.82902793220431,155.41554274160634,150.96080140393406,ACTIVE,True,108.6519809449976,62.11323985093367,155.50691738485233,101.36064734322251,153.78582303149545,150.66275713773615
62066,106.81421558580945,61.93047713480798,151.9320621291263,88.6963970224951,157.60096078403112,152.29366724058772,ACTIVE,True,111.85105905847433,61.25468337946225,155.40736867457102,101.66911425106932,155.26108383347275,150.97843778522412
62100,110.65690158410216,54.27209553335282,148.78298206750418,116.1968087280874,155.72453671145578,151.90822995345619,ACTIVE,True,116.32561267382823,61.44331200258007,155.7703497514275,102.14906765173215,156.3139730107245,151.09942770903515
